job_id,job_title,company,location,city,state,country,industry,salary,salary_min,salary_max,currency,experience,experience_min,experience_max,employment_type,posting_date,job_description,skills,standardized_job_title,normalized_location,salary_average,experience_category,skills_count,posting_month,posting_year,posting_weekday,job_age_days,extracted_skills
JOB-000011,Junior Business Analyst,Helix Analytics,Kochi,Kochi,Kerala,India,Consulting,10 LPA,1677458.0,1677458.0,INR,3-5 years,3.0,5.0,Full-time,2026-02-16,"We are hiring a Business Analyst at Helix Analytics to join our data team in India. The ideal candidate will have strong experience with Data Visualization, Power BI and SQL. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Data Visualization,Power BI,SQL is required. If you are passionate about data and want to grow your career, apply today!","Data Visualization, Power BI, SQL",Business Analyst,Kochi,1677458.0,Mid Level,3,2.0,2026.0,Monday,195.0,Data Visualization; Power BI; SQL
JOB-000012,Senior Data Analyst,DataPulse Inc,Delhi,Delhi,Delhi,India,Healthcare,15 LPA,1595999.0,2197435.0,INR,6-6 years,6.0,6.0,Internship,2026-02-16,"We are hiring a Data Analyst at DataPulse Inc to join our data team in India. The ideal candidate will have strong experience with Data Visualization, Excel, Power BI, Python, SQL and Tableau. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Data Visualization,Excel,Power BI is required. If you are passionate about data and want to grow your career, apply today!","Data Visualization, Excel, Power BI, Python, SQL, Tableau",Data Analyst,Delhi,1896717.0,Senior Level,6,2.0,2026.0,Monday,195.0,Data Visualization; Excel; Power BI; Python; SQL; Tableau
JOB-000013,Business Analyst,Meridian Data,Delhi,Delhi,Delhi,India,Consulting,9 LPA,910000.0,1383874.0,INR,2-4 years,2.0,4.0,Not Specified,2026-01-12,"We are hiring a Business Analyst at Meridian Data to join our data team in India. The ideal candidate will have strong experience with Agile, Data Visualization, Excel, Power BI, SQL and Statistics. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Agile,Data Visualization,Excel is required. If you are passionate about data and want to grow your career, apply today!","Agile, Data Visualization, Excel, Power BI, SQL, Statistics",Business Analyst,Delhi,1146937.0,Entry Level,6,1.0,2026.0,Monday,230.0,Agile; Data Visualization; Excel; Power BI; SQL; Statistics
JOB-000014,Business Intelligence Analyst,CloudBridge Tech,Kochi,Kochi,Kerala,India,Finance,10 LPA,1040000.0,1622272.0,INR,2-2 years,2.0,2.0,Full-time,2026-06-09,"We are hiring a BI Analyst at CloudBridge Tech to join our data team in India. The ideal candidate will have strong experience with Data Visualization, Excel, Looker, Power BI and Tableau. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Data Visualization,Excel,Looker is required. If you are passionate about data and want to grow your career, apply today!","Data Visualization, Excel, Looker, Power BI, Tableau",BI Analyst,Kochi,1331136.0,Entry Level,5,6.0,2026.0,Tuesday,82.0,Data Visualization; Excel; Looker; Power BI; Tableau
JOB-000015,Junior Data Scientist,InfoSphere Systems,Kochi,Kochi,Kerala,India,Banking,21 LPA,2100000.0,2618056.0,INR,5-7 years,5.0,7.0,Full-time,2026-01-02,"We are hiring a Data Scientist at InfoSphere Systems to join our data team in India. The ideal candidate will have strong experience with NumPy, R, SQL, Scikit-learn and TensorFlow. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with NumPy,R,SQL is required. If you are passionate about data and want to grow your career, apply today!","NumPy, R, SQL, Scikit-learn, TensorFlow",Data Scientist,Kochi,2359028.0,Mid Level,5,1.0,2026.0,Friday,240.0,NumPy; R; SQL; Scikit-learn; TensorFlow
JOB-000016,Business Intelligence Analyst,Lumina Digital,Gurgaon,Gurgaon,Haryana,India,Information Technology,9 LPA,919999.0,1313972.0,INR,1-1 years,1.0,1.0,Full-time,2026-04-30,"We are hiring a BI Analyst at Lumina Digital to join our data team in India. The ideal candidate will have strong experience with Data Visualization, Excel, Looker, Power BI, SQL and Tableau. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Data Visualization,Excel,Looker is required. If you are passionate about data and want to grow your career, apply today!","Data Visualization, Excel, Looker, Power BI, SQL, Tableau",BI Analyst,Gurgaon,1116985.5,Entry Level,6,4.0,2026.0,Thursday,122.0,Data Visualization; Excel; Looker; Power BI; SQL; Tableau
JOB-000017,Junior Business Analyst,CloudBridge Tech,Noida,Noida,Uttar Pradesh,India,Manufacturing,11 LPA,1120000.0,1576833.0,INR,4-7 years,4.0,7.0,Full-time,2025-09-02,"We are hiring a Business Analyst at CloudBridge Tech to join our data team in India. The ideal candidate will have strong experience with Data Visualization, Power BI, SQL and Statistics. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Data Visualization,Power BI,SQL is required. If you are passionate about data and want to grow your career, apply today!","Data Visualization, Power BI, SQL, Statistics",Business Analyst,Noida,1348416.5,Mid Level,4,9.0,2025.0,Tuesday,362.0,Data Visualization; Power BI; SQL; Statistics
JOB-000018,Business Intelligence Analyst,Quantum Data Labs,Ahmedabad,Ahmedabad,Gujarat,India,Information Technology,12 LPA,1280000.0,1589726.0,INR,4-4 years,4.0,4.0,Full-time,2026-04-19,"We are hiring a BI Analyst at Quantum Data Labs to join our data team in India. The ideal candidate will have strong experience with Data Visualization, Excel, Looker, Power BI, SQL and Tableau. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Data Visualization,Excel,Looker is required. If you are passionate about data and want to grow your career, apply today!","Data Visualization, Excel, Looker, Power BI, SQL, Tableau",BI Analyst,Ahmedabad,1434863.0,Mid Level,6,4.0,2026.0,Sunday,133.0,Data Visualization; Excel; Looker; Power BI; SQL; Tableau
JOB-000019,Data Analyst,Helix Analytics,Bangalore,Unknown,Karnataka,India,E-commerce,6 LPA,690000.0,1058963.0,INR,1-4 years,1.0,4.0,Contract,2025-10-27,"We are hiring a Data Analyst at Helix Analytics to join our data team in India. The ideal candidate will have strong experience with Power BI, Python, SQL and Tableau. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Power BI,Python,SQL is required. If you are passionate about data and want to grow your career, apply today!","Power BI, Python, SQL, Tableau",Data Analyst,Bangalore,874481.5,Entry Level,4,10.0,2025.0,Monday,307.0,Power BI; Python; SQL; Tableau
JOB-000020,BI Engineer,Nexora Data Labs,Bangalore,Bangalore,Karnataka,India,Finance,15 LPA,1595000.0,1968992.0,INR,3-5 years,3.0,5.0,Full-time,2026-07-21,"We are hiring a Analytics Engineer at Nexora Data Labs to join our data team in India. The ideal candidate will have strong experience with Airflow, Git, Looker, Python and SQL. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Airflow,Git,Looker is required. If you are passionate about data and want to grow your career, apply today!","Airflow, Git, Looker, Python, SQL",Other,Bangalore,1781996.0,Mid Level,5,7.0,2026.0,Tuesday,40.0,Airflow; Git; Looker; Python; SQL
JOB-000021,Data Analyst I,Orbit Tech Solutions,Ahmedabad,Ahmedabad,Gujarat,India,Manufacturing,6 LPA,600000.0,975285.0,INR,0-3 years,0.0,3.0,Not Specified,2026-07-01,"We are hiring a Data Analyst at Orbit Tech Solutions to join our data team in India. The ideal candidate will have strong experience with Excel, Power BI, Python, SQL and Tableau. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Excel,Power BI,Python is required. If you are passionate about data and want to grow your career, apply today!","Excel, Power BI, Python, SQL, Tableau",Data Analyst,Ahmedabad,787642.5,Fresher,5,7.0,2026.0,Wednesday,60.0,Excel; Power BI; Python; SQL; Tableau
JOB-000022,BA - Data,Crestwave Systems,Kolkata,Kolkata,West Bengal,India,Finance,12 LPA,1225000.0,1685483.0,INR,5-7 years,5.0,7.0,Full-time,,"We are hiring a Business Analyst at Crestwave Systems to join our data team in India. The ideal candidate will have strong experience with Agile, Data Visualization, Excel, Power BI, SQL and Statistics. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Agile,Data Visualization,Excel is required. If you are passionate about data and want to grow your career, apply today!","Agile, Data Visualization, Excel, Power BI, SQL, Statistics",Other,Kolkata,1455241.5,Mid Level,6,,,,,Agile; Data Visualization; Excel; Power BI; SQL; Statistics
JOB-000023,Business Analyst,Quantum Data Labs,Kochi,Kochi,Kerala,India,Telecommunications,7 LPA,700000.0,1004288.0,INR,Fresher,0.0,0.0,Full-time,2026-03-23,"We are hiring a Business Analyst at Quantum Data Labs to join our data team in India. The ideal candidate will have strong experience with Agile, Data Visualization, Excel, Power BI, SQL and Statistics. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Agile,Data Visualization,Excel is required. If you are passionate about data and want to grow your career, apply today!","Agile, Data Visualization, Excel, Power BI, SQL, Statistics",Business Analyst,Kochi,852144.0,Fresher,6,3.0,2026.0,Monday,160.0,Agile; Data Visualization; Excel; Power BI; SQL; Statistics
JOB-000024,Applied Data Scientist,Unknown,Ahmedabad,Ahmedabad,Gujarat,India,Information Technology,22 LPA,2279999.0,3816252.0,INR,6-6 years,6.0,6.0,Full-time,2025-11-26,"We are hiring a Data Scientist at Stratum Consulting to join our data team in India. The ideal candidate will have strong experience with Machine Learning, Python, SQL, Statistics and TensorFlow. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Machine Learning,Python,SQL is required. If you are passionate about data and want to grow your career, apply today!","Machine Learning, Python, SQL, Statistics, TensorFlow",Data Scientist,Ahmedabad,3048125.5,Senior Level,5,11.0,2025.0,Wednesday,277.0,Machine Learning; Python; SQL; Statistics; TensorFlow
JOB-000025,ML Engineer,Crestwave Systems,Mumbai,Mumbai,Maharashtra,India,E-commerce,30 LPA,3074999.0,3799792.0,INR,7-8 years,7.0,8.0,Not Specified,2026-04-11,"We are hiring a Machine Learning Engineer at Crestwave Systems to join our data team in India. The ideal candidate will have strong experience with Computer Vision, Kubernetes, NLP and Spark. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Computer Vision,Kubernetes,NLP is required. If you are passionate about data and want to grow your career, apply today!","Computer Vision, Kubernetes, NLP, Spark",Machine Learning Engineer,Mumbai,3437395.5,Senior Level,4,4.0,2026.0,Saturday,141.0,Computer Vision; Kubernetes; NLP; Spark
JOB-000026,BI Engineer,Vertex Insights,Ahmedabad,Ahmedabad,Gujarat,India,Information Technology,15 LPA,1595000.0,2644568.0,INR,3-6 years,3.0,6.0,Contract,2026-03-27,"We are hiring a Analytics Engineer at Vertex Insights to join our data team in India. The ideal candidate will have strong experience with Airflow, Git, SQL and Snowflake. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Airflow,Git,SQL is required. If you are passionate about data and want to grow your career, apply today!","Airflow, Git, SQL, Snowflake",Other,Ahmedabad,2119784.0,Mid Level,4,3.0,2026.0,Friday,156.0,Airflow; Git; SQL; Snowflake
JOB-000027,Analytics Engineer,Crestwave Systems,Gurgaon,Gurgaon,Haryana,India,Manufacturing,12 LPA,1264999.0,1264999.0,INR,1-3 years,1.0,3.0,Full-time,2026-04-11,"We are hiring a Analytics Engineer at Crestwave Systems to join our data team in India. The ideal candidate will have strong experience with Airflow, Git, Looker, Python, SQL and Snowflake. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Airflow,Git,Looker is required. If you are passionate about data and want to grow your career, apply today!","Airflow, Git, Looker, Python, SQL, Snowflake",Analytics Engineer,Gurgaon,1264999.0,Entry Level,6,4.0,2026.0,Saturday,141.0,Airflow; Git; Looker; Python; SQL; Snowflake
JOB-000028,Analytics Analyst,Vertex Insights,Noida,Noida,Uttar Pradesh,India,Telecommunications,6 LPA,690000.0,1018186.0,INR,1-4 years,1.0,4.0,Full-time,2026-05-16,"We are hiring a Data Analyst at Vertex Insights to join our data team in India. The ideal candidate will have strong experience with Data Visualization, Excel, Power BI, Python, SQL and Tableau. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Data Visualization,Excel,Power BI is required. If you are passionate about data and want to grow your career, apply today!","Data Visualization, Excel, Power BI, Python, SQL, Tableau",Other,Noida,854093.0,Entry Level,6,5.0,2026.0,Saturday,106.0,Data Visualization; Excel; Power BI; Python; SQL; Tableau
JOB-000029,Junior Business Analyst,Nimbus Data,Noida,Noida,Uttar Pradesh,India,Information Technology,12 LPA,1225000.0,1901952.0,INR,5-8 years,5.0,8.0,Full-time,2026-04-12,"We are hiring a Business Analyst at Nimbus Data to join our data team in India. The ideal candidate will have strong experience with Agile, Data Visualization, Excel, Power BI, SQL and Statistics. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Agile,Data Visualization,Excel is required. If you are passionate about data and want to grow your career, apply today!","Agile, Data Visualization, Excel, Power BI, SQL, Statistics",Business Analyst,Noida,1563476.0,Mid Level,6,4.0,2026.0,Sunday,140.0,Agile; Data Visualization; Excel; Power BI; SQL; Statistics
JOB-000030,Data Analytics Engineer,Pinnacle Data Corp,Kolkata,Kolkata,West Bengal,India,Information Technology,11 LPA,1100000.0,1667138.0,INR,Fresher,0.0,0.0,Full-time,2026-08-25,"We are hiring a Analytics Engineer at Pinnacle Data Corp to join our data team in India. The ideal candidate will have strong experience with Airflow, Git, Python, SQL and Snowflake. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Airflow,Git,Python is required. If you are passionate about data and want to grow your career, apply today!","Airflow, Git, Python, SQL, Snowflake",Analytics Engineer,Kolkata,1383569.0,Fresher,5,8.0,2026.0,Tuesday,5.0,Airflow; Git; Python; SQL; Snowflake
JOB-000031,ML Engineer,Nexora Data Labs,Hyderabad,Hyderabad,Telangana,India,Healthcare,28 LPA,2850000.0,4074887.0,INR,6-8 years,6.0,8.0,Full-time,2025-10-06,"We are hiring a Machine Learning Engineer at Nexora Data Labs to join our data team in India. The ideal candidate will have strong experience with Computer Vision, PyTorch and Spark. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Computer Vision,PyTorch,Spark is required. If you are passionate about data and want to grow your career, apply today!","Computer Vision, PyTorch, Spark",Machine Learning Engineer,Hyderabad,3462443.5,Senior Level,3,10.0,2025.0,Monday,328.0,Computer Vision; PyTorch; Spark
JOB-000032,Machine Learning Engineer,Meridian Data,Pune,Pune,Maharashtra,India,Information Technology,30 LPA,3074999.0,5090073.0,INR,7-7 years,7.0,7.0,Full-time,2026-07-13,"We are hiring a Machine Learning Engineer at Meridian Data to join our data team in India. The ideal candidate will have strong experience with Computer Vision, Kubernetes, NLP, PyTorch, Python and TensorFlow. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Computer Vision,Kubernetes,NLP is required. If you are passionate about data and want to grow your career, apply today!","Computer Vision, Kubernetes, NLP, PyTorch, Python, TensorFlow",Machine Learning Engineer,Pune,4082536.0,Senior Level,6,7.0,2026.0,Monday,48.0,Computer Vision; Kubernetes; NLP; PyTorch; Python; TensorFlow
JOB-000033,Business Intelligence Analyst,Crestwave Systems,Delhi,Delhi,Delhi,India,Consulting,10 LPA,1040000.0,1040000.0,INR,2-5 years,2.0,5.0,Contract,2025-12-23,"We are hiring a BI Analyst at Crestwave Systems to join our data team in India. The ideal candidate will have strong experience with Excel, Looker, Power BI, SQL and Tableau. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Excel,Looker,Power BI is required. If you are passionate about data and want to grow your career, apply today!","Excel, Looker, Power BI, SQL, Tableau",BI Analyst,Delhi,1040000.0,Entry Level,5,12.0,2025.0,Tuesday,250.0,Excel; Looker; Power BI; SQL; Tableau
JOB-000034,Product Manager - Data,Pinnacle Data Corp,Bangalore,Bangalore,Karnataka,India,Finance,11 LPA,1150000.0,1745357.0,INR,1-1 years,1.0,1.0,Full-time,2025-09-18,"We are hiring a Other at Pinnacle Data Corp to join our data team in India. The ideal candidate will have strong experience with AWS, Excel, Git and SQL. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with AWS,Excel,Git is required. If you are passionate about data and want to grow your career, apply today!","AWS, Excel, Git, SQL",Other,Bangalore,1447678.5,Entry Level,4,9.0,2025.0,Thursday,346.0,AWS; Excel; Git; SQL
JOB-000035,BI Engineer,Vertex Insights,Bangalore,Bangalore,Karnataka,India,Finance,15 LPA,1595000.0,2672067.0,INR,3-6 years,3.0,6.0,Contract,2025-12-05,"We are hiring a Analytics Engineer at Vertex Insights to join our data team in India. The ideal candidate will have strong experience with DBT, Git, Looker, SQL and Snowflake. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with DBT,Git,Looker is required. If you are passionate about data and want to grow your career, apply today!","DBT, Git, Looker, SQL, Snowflake",Other,Bangalore,2133533.5,Mid Level,5,12.0,2025.0,Friday,268.0,DBT; Git; Looker; SQL; Snowflake
JOB-000036,Junior Data Engineer,Quantum Data Labs,Ahmedabad,Ahmedabad,Gujarat,India,Information Technology,26 LPA,2665000.0,4513880.0,INR,7-8 years,7.0,8.0,Full-time,2025-12-29,,"AWS, Hadoop, Kafka, PostgreSQL, Python, SQL, Spark",Data Engineer,Ahmedabad,3589440.0,Senior Level,7,12.0,2025.0,Monday,244.0,AWS; Hadoop; Kafka; PostgreSQL; Python; SQL; Spark
JOB-000037,BI Consultant,TechNova Solutions,Bangalore,Bangalore,Karnataka,India,Telecommunications,11 LPA,1160000.0,1676355.0,INR,3-3 years,3.0,3.0,Full-time,2026-07-15,"We are hiring a BI Analyst at TechNova Solutions to join our data team in India. The ideal candidate will have strong experience with Data Visualization, Excel, Looker, Power BI, SQL and Tableau. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Data Visualization,Excel,Looker is required. If you are passionate about data and want to grow your career, apply today!","Data Visualization, Excel, Looker, Power BI, SQL, Tableau",Other,Bangalore,1418177.5,Mid Level,6,7.0,2026.0,Wednesday,46.0,Data Visualization; Excel; Looker; Power BI; SQL; Tableau
JOB-000038,Junior Data Scientist,Orbit Tech Solutions,Noida,Noida,Uttar Pradesh,India,Manufacturing,13 LPA,1380000.0,1950467.0,INR,1-3 years,1.0,3.0,Internship,2025-10-12,"We are hiring a Data Scientist at Orbit Tech Solutions to join our data team in India. The ideal candidate will have strong experience with Machine Learning, Pandas, Python, R, SQL and TensorFlow. You will work on business-critical data problems, collaborate with engineering and business teams, and help drive data-informed decisions. Excellent communication skills and a problem-solving mindset are essential. Familiarity with Machine Learning,Pandas,Python is required. If you are passionate about data and want to grow your career, apply today!","Machine Learning, Pandas, Python, R, SQL, TensorFlow",Data Scientist,Noida,1665233.5,Entry Level,6,10.0,2025.0,Sunday,322.0,Machine Learning; Pandas; Python; R; SQL; TensorFlow
